"","country","dates","I","R","D","T"
"1","CZ",2020-04-26,52,92,2,3381
"2","CZ",2020-04-27,41,281,3,7754
"3","CZ",2020-04-28,60,122,4,8741
"4","CZ",2020-04-29,75,160,0,7322
"5","CZ",2020-04-30,104,206,9,7396
"6","CZ",2020-05-01,55,58,4,4497
"7","CZ",2020-05-02,18,89,5,3885
"8","CZ",2020-05-03,26,126,3,3881
"9","CZ",2020-05-04,38,220,4,7756
"10","CZ",2020-05-05,77,199,5,9383
"11","CZ",2020-05-06,79,199,5,8052
"12","CZ",2020-05-07,58,166,8,7599
"13","CZ",2020-05-08,46,42,3,4510
"14","CZ",2020-05-09,18,34,3,3788
"15","CZ",2020-05-10,28,27,4,4052
"16","CZ",2020-05-11,56,237,2,7809
"17","CZ",2020-05-12,45,178,1,8755
"18","CZ",2020-05-13,50,158,7,7687
"19","CZ",2020-05-14,82,194,3,6902
"20","CZ",2020-05-15,55,140,2,6790
"21","CZ",2020-05-16,51,41,1,4197
"22","CZ",2020-05-17,20,40,2,3553
"23","CZ",2020-05-18,113,179,0,7458
"24","CZ",2020-05-19,62,85,5,8336
"25","CZ",2020-05-20,74,104,2,7518
